fold,threshold,threshold_criterion,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,sanity_passed,sanity_flags
1,0.5450000000000002,youden_j_constrained,0.8033333333333333,0.8413353338334584,0.7476666666666667,0.7917402047299682,0.8765673333333334,0.8903214680494718,2243,423,757,2577,True,[]
2,0.5225000000000001,youden_j_constrained,0.7955,0.8255600440690415,0.7493333333333333,0.7856019570155512,0.864254388888889,0.8791402220237952,2248,475,752,2525,True,[]
3,0.5225000000000001,youden_j_constrained,0.8001666666666667,0.8412277377794619,0.74,0.7873736478098954,0.8663306111111111,0.882628684965532,2220,419,780,2581,True,[]
4,0.5375000000000001,youden_j_constrained,0.8038333333333333,0.8344954128440367,0.758,0.794410480349345,0.8724236666666667,0.886682042232966,2274,451,726,2549,True,[]
5,0.48500000000000004,youden_j_constrained,0.7963333333333333,0.8108391608391609,0.773,0.7914675767918089,0.8659123888888888,0.8741098540735717,2319,541,681,2459,True,[]
