fold,threshold,threshold_criterion,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,sanity_passed,sanity_flags
1,0.3350000000000001,youden_j_constrained,0.8021666666666667,0.8161841646320195,0.78,0.7976819498892108,0.8308823888888888,0.8220407079708641,2340,527,660,2473,True,[]
2,0.30500000000000005,youden_j_constrained,0.7956666666666666,0.8060731538992408,0.7786666666666666,0.7921329264157342,0.8239829444444443,0.8102334512012634,2336,562,664,2438,True,[]
3,0.4775000000000001,youden_j_constrained,0.7955,0.8246063712925669,0.7506666666666667,0.7859012388762868,0.8175533333333332,0.8136998831080615,2252,479,748,2521,True,[]
4,0.3425,youden_j_constrained,0.7945,0.8010221465076661,0.7836666666666666,0.7922493681550127,0.8197287777777778,0.8015003907590503,2351,584,649,2416,True,[]
5,0.41000000000000003,youden_j_constrained,0.7931666666666667,0.8052759458521347,0.7733333333333333,0.7889814657371196,0.8168919444444444,0.8012529953471939,2320,561,680,2439,True,[]
