fold,threshold,threshold_criterion,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,sanity_passed,sanity_flags
1,0.665,youden_j_constrained,0.799,0.89,0.6823333333333333,0.7724528301886793,0.8677192222222222,0.8564718005365461,2047,253,953,2747,True,[]
2,0.5225000000000001,youden_j_constrained,0.7986666666666666,0.8020903573836817,0.793,0.7975192758967482,0.8704187222222222,0.8616206727638523,2379,587,621,2413,True,[]
3,0.5225000000000001,youden_j_constrained,0.8075,0.8188731420670584,0.7896666666666666,0.8040047513999661,0.8721969444444444,0.8661386393019899,2369,524,631,2476,True,[]
4,0.5225000000000001,youden_j_constrained,0.7988333333333333,0.8007380073800738,0.7956666666666666,0.7981942818926601,0.8715117777777777,0.8655884994741847,2387,594,613,2406,True,[]
5,0.53,youden_j_constrained,0.7981666666666667,0.8083419510513616,0.7816666666666666,0.7947805456702254,0.8641315555555555,0.8543565683822235,2345,556,655,2444,True,[]
