fold,threshold,threshold_criterion,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,sanity_passed,sanity_flags
1,0.49250000000000005,youden_j_constrained,0.6623333333333333,0.7248384118190212,0.5233333333333333,0.6078203639179249,0.7073218333333333,0.705986174537941,1570,596,1430,2404,True,[]
2,0.5,youden_j_constrained,0.6691666666666667,0.7260579064587973,0.5433333333333333,0.6215443279313632,0.6920213333333334,0.6898493153927441,1630,615,1370,2385,True,[]
3,0.5150000000000001,youden_j_constrained,0.6515,0.7413701540095592,0.4653333333333333,0.5717796436616834,0.6927627777777777,0.6886554026508851,1396,487,1604,2513,True,[]
4,0.5225000000000001,youden_j_constrained,0.6588333333333334,0.7488250652741515,0.478,0.5835198372329603,0.7009526111111112,0.7004344391165273,1434,481,1566,2519,True,[]
5,0.5075000000000001,youden_j_constrained,0.6585,0.7276208712302538,0.5066666666666667,0.5973668697190018,0.6995379444444444,0.6966713943594796,1520,569,1480,2431,True,[]
