fold,threshold,threshold_criterion,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,sanity_passed,sanity_flags
1,0.5,youden_j_constrained,0.5221666666666667,0.8594594594594595,0.053,0.09984301412872841,0.6143153888888889,0.6176283447965276,159,26,2841,2974,True,[]
2,0.5,youden_j_constrained,0.5186666666666667,0.8218390804597702,0.04766666666666667,0.09010712035286704,0.5957451111111112,0.5987396435376497,143,31,2857,2969,True,[]
3,0.5,youden_j_constrained,0.5196666666666667,0.8206521739130435,0.050333333333333334,0.09484924623115577,0.5828163333333334,0.5880525809380512,151,33,2849,2967,True,[]
4,0.5,youden_j_constrained,0.5145,0.8536585365853658,0.035,0.06724303554274735,0.5925276111111111,0.5934550217645606,105,18,2895,2982,True,[]
5,0.5,youden_j_constrained,0.5196666666666667,0.8470588235294118,0.048,0.09085173501577287,0.578054888888889,0.5849217538945042,144,26,2856,2974,True,[]
