fold,threshold,accuracy,f1_score,precision,recall,tree_depth,n_leaves
1,0.49183673469387756,0.8397777777777777,0.8870437098543005,0.9469811005184814,0.8342419331074112,8,27
2,0.589795918367347,0.818,0.8666883698217629,0.9680029088264703,0.7845723126795845,8,29
3,0.589795918367347,0.8367777777777777,0.8846123635221114,0.9472621751198587,0.8297355043100273,7,27
4,0.573469387755102,0.8326666666666667,0.8812958146133838,0.9474620794847894,0.8237677742577175,8,26
5,0.49183673469387756,0.8355464192455136,0.8836660902373841,0.9470137309409485,0.8282619907168643,7,26
