metrica,media,desvio_padrao,minimo,maximo
Accuracy,0.8325537282935471,0.008526567985542926,0.818,0.8397777777777777
F1 Score,0.8806612696097886,0.008078059937735338,0.8666883698217629,0.8870437098543005
Precision,0.9513443989781096,0.009314450678125101,0.9469811005184814,0.9680029088264703
Recall,0.8201159030143209,0.020218328180135803,0.7845723126795845,0.8342419331074112
