metrica,media,desvio_padrao,minimo,maximo
Accuracy,0.7537918097460687,0.0005607272623320034,0.7528333333333334,0.7542923820636773
F1 Score,0.8595547762815162,0.0004337534441652723,0.8588022469770542,0.859912564151302
Precision,0.7542045896610456,0.00016581477851732702,0.7539589931655276,0.7543801101284833
Recall,0.999115875551387,0.0012793870690768442,0.9969053934571176,1.0
