fold,threshold,accuracy,f1_score,precision,recall
1,0.049595959595959596,0.754,0.8597491448118586,0.7541256876146024,0.9997790055248619
2,0.15848484848484848,0.754,0.8596691386195094,0.7543801101284833,0.9991160220994475
3,0.207979797979798,0.7528333333333334,0.8588022469770542,0.7543067402575682,0.9969053934571176
4,0.01,0.7538333333333334,0.859640786847857,0.7539589931655276,0.9997789566755084
5,0.01,0.7542923820636773,0.859912564151302,0.7542514171390463,1.0
