fold,threshold,accuracy,f1,precision,recall
1,0.1,0.7541666666666667,0.8598574821852731,0.7541666666666667,1.0
2,0.20000000000000004,0.8245,0.8865423984484431,0.8650126156433978,0.909171270718232
3,0.20000000000000004,0.8218333333333333,0.8872957301001582,0.8482160854666397,0.9301503094606542
4,0.25000000000000006,0.8218333333333333,0.8853373377668132,0.8599708272556783,0.9122458001768347
5,0.25000000000000006,0.8299716619436572,0.8907689012636539,0.8639385126713751,0.9193191865605659
