fold,threshold,accuracy,f1,precision,recall
1,-0.9690387987295829,0.8173333333333334,0.8775145283862316,0.8876328283970156,0.8676243093922652
2,-0.8810212825865458,0.811,0.8725556304787593,0.8877201006174251,0.8579005524861878
3,-0.9723104354302273,0.8151666666666667,0.8760201229737283,0.8862248360099525,0.8660477453580901
4,-0.8995494516727808,0.8021666666666667,0.8668536174985979,0.879981780915509,0.8541114058355438
5,-0.9917809728071854,0.8168028004667445,0.8771655303453672,0.8871806466199412,0.8673740053050398
