rank,model,validated_score,accuracy,precision,recall,f1,roc_auc,pr_auc,tn_mean
1,Árvore de Decisão,0.811098934606107,0.8004333333333333,0.8240086915764351,0.7684666666666666,0.7933903370096558,0.8691956444444443,0.8608352360917593,2497.2
2,Rede Neural,0.8086682644646914,0.7998333333333333,0.8306915378730318,0.7536,0.7901187733393138,0.8690976777777777,0.8825764542690674,2538.2
3,SVM,0.7986592581391686,0.7962,0.8106323564367255,0.7732666666666667,0.7913893898146729,0.8218078777777776,0.8097454856772867,2457.4
4,Regressão Logística,0.6384135980501886,0.6600666666666667,0.7337424817583565,0.5033333333333333,0.5964062084925866,0.6985193,0.6963193452115154,2450.4
5,Naive Bayes,0.4175075290087329,0.5189333333333334,0.84053361478941,0.0467999999999999,0.0885788302542543,0.5926918666666666,0.5965594689862587,2973.2
