modelo,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_recalc_from_cm,precision_recalc_from_cm,recall_recalc_from_cm,f1_recalc_from_cm,max_metric_delta,tn_mean,tp_mean,fonte,validado
Árvore de Decisão,0.8004333333333333,0.8240086915764351,0.7684666666666666,0.7933903370096558,0.8691956444444443,0.8608352360917593,0.8004333333333334,0.8209529235809415,0.7684666666666667,0.793843187218071,1.1102230246251565e-16,2497.2,2305.4,results/audit/árvore_de_decisão_folds.csv,sim
SVM,0.7962,0.8106323564367255,0.7732666666666667,0.7913893898146729,0.8218078777777776,0.8097454856772867,0.7962000000000001,0.8104387926215764,0.7732666666666668,0.7914164847161573,1.1102230246251565e-16,2457.4,2319.8,results/audit/svm_folds.csv,sim
Rede Neural,0.7998333333333333,0.8306915378730318,0.7536,0.7901187733393138,0.8690976777777777,0.8825764542690674,0.7998333333333333,0.830382722397708,0.7536,0.7901303603257261,0.0,2538.2,2260.8,results/audit/rede_neural_folds.csv,sim
Regressão Logística,0.6600666666666667,0.7337424817583565,0.5033333333333333,0.5964062084925866,0.6985193,0.6963193452115154,0.6600666666666667,0.7331520683627889,0.5033333333333333,0.5968851292592299,0.0,2450.4,1510.0,results/audit/regressão_logística_folds.csv,sim
Naive Bayes,0.5189333333333334,0.84053361478941,0.04679999999999999,0.08857883025425425,0.5926918666666666,0.5965594689862587,0.5189333333333334,0.8397129186602871,0.0468,0.08865875221015408,1.3877787807814457e-17,2973.2,140.4,results/audit/naive_bayes_folds.csv,sim
