fold,accuracy,precision,recall,f1,roc_auc
1,0.5757295579312337,0.5429176289453426,0.975,0.6974616779297841,0.7270748814532826
2,0.57226235192141,0.5409720441138753,0.9720046082949308,0.6950898006261328,0.714460295198023
3,0.5767119329673505,0.5436899464757852,0.9713133640552996,0.6971513623020631,0.7343393975823148
4,0.5736492343253395,0.5418782541621135,0.9710862803824444,0.6956019473553924,0.7282301446722513
5,0.5768275065010112,0.5435535599743425,0.9761548208731713,0.6982819002101273,0.7299830345161281
