model_type,accuracy,precision,recall,f1,roc_auc,recall_std,alpha,binarize,var_smoothing,norm
bernoulli,0.68058942502167,0.6304121469210626,0.8779779798776606,0.7338765105641742,0.7265071976654723,0.0038288719181855577,4.546363636363637,0.3684210526315789,,
bernoulli,0.68058942502167,0.6304121469210626,0.8779779798776606,0.7338765105641742,0.7265173813345284,0.0038288719181855577,4.747979797979799,0.42105263157894735,,
complement,0.5877954348454204,0.5505744386928642,0.9702317710641971,0.7025015884577217,0.7319002557764698,0.001542984256618476,4.042323232323232,,,True
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7265452822303236,0.003793391698946892,3.437474747474748,0.47368421052631576,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569028042540157,0.0037779216506808257,,,1e-06,
gaussian,0.6053857266685928,0.5628659256901983,0.9550481214071518,0.7082907818140007,0.6733082479368582,0.0035722799901783658,,,0.059948425031893966,
gaussian,0.6114648945391505,0.5671818740892828,0.951753312626707,0.7107792803430263,0.6570099718796134,0.0037433502070896053,,,0.00012915496650148828,
gaussian,0.6114764518925166,0.5671877795223568,0.9517763541013613,0.7107903445337729,0.6569550222855517,0.0037779216506808257,,,7.742636826811262e-05,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681034,0.0037779216506808257,,,1.2915496650148827e-08,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,7.742636826811278e-12,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569028122684397,0.0037779216506808257,,,5.994842503189409e-07,
complement,0.575036116729269,0.5426022867342918,0.9731118147211693,0.6967173376846999,0.7268175506844,0.002312371635006996,0.16121212121212125,,,True
complement,0.5890667437156891,0.5513761262159074,0.9700935275247549,0.703117400228505,0.7321879390219983,0.0015038047287245547,4.495959595959596,,,True
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7265503980987634,0.0037880768210783212,0.4636363636363637,0.3157894736842105,,
complement,0.691534238659347,0.6445485294617476,0.8585318883286078,0.736305191802795,0.7675136848096893,0.003597981664086003,2.832626262626263,,,False
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7266110032152646,0.003793391698946892,3.3870707070707073,0.7894736842105263,,
complement,0.5882230569199653,0.5508438017941899,0.9701856881148883,0.7027086921637645,0.7319992633516875,0.0015296441362331295,4.193535353535354,,,True
complement,0.691545796012713,0.6445596194083223,0.8585318883286078,0.7363124600144753,0.7675370522111672,0.003597981664086003,2.1773737373737374,,,False
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027975753183,0.0037779216506808257,,,1e-07,
gaussian,0.6114302224790523,0.5671581797985177,0.951753312626707,0.7107607866222603,0.6570394142114211,0.0037433502070896053,,,0.0002782559402207126,
complement,0.5883848598670903,0.5509473894317485,0.9701396078198214,0.7027809096279768,0.7320321492224682,0.0014676410926340211,4.243939393939394,,,True
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7265908308994371,0.003793391698946892,3.73989898989899,0.6842105263157894,,
gaussian,0.6113839930655881,0.5671193098224873,0.9518454785253244,0.7107561618940477,0.6580989778368137,0.003696545288064317,,,0.0027825594022071257,
complement,0.590210921698931,0.5520996273822714,0.9699552892937964,0.7036691596773015,0.7324610226517796,0.0015316878074937994,4.9495959595959595,,,True
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.72661827497085,0.003793391698946892,3.840707070707071,0.8421052631578947,,
