metric,mean,std
accuracy,0.575036116729269,0.002007206522156409
precision,0.5426022867342918,0.0011585852760554332
recall,0.9731118147211693,0.002312371635006996
f1,0.6967173376846999,0.0013307186149429657
roc_auc,0.7268175506844,0.007439117432520548
